Provinces	Travellers and overnight stays	Residence	Periodo	Total
02 Albacete	Guests	Residents in Spain	2025M08	1.753
02 Albacete	Guests	Residents in Spain	2025M07	1.704
02 Albacete	Guests	Residents in Spain	2025M06	2.918
02 Albacete	Guests	Residents in Spain	2025M05	1.303
02 Albacete	Guests	Residents in Spain	2025M04	1.735
02 Albacete	Guests	Residents in Spain	2025M03	995
02 Albacete	Guests	Residents in Spain	2025M02	881
02 Albacete	Guests	Residents in Spain	2025M01	578
02 Albacete	Guests	Residents in Spain	2024M12	966
02 Albacete	Guests	Residents in Spain	2024M11	657
02 Albacete	Guests	Residents in Spain	2024M10	2.637
02 Albacete	Guests	Residents in Spain	2024M09	1.072
02 Albacete	Guests	Residents in Spain	2024M08	2.069
02 Albacete	Guests	Residents in Spain	2024M07	3.101
02 Albacete	Guests	Residents in Spain	2024M06	1.231
02 Albacete	Guests	Residents in Spain	2024M05	1.432
02 Albacete	Guests	Residents in Spain	2024M04	1.166
02 Albacete	Guests	Residents in Spain	2024M03	1.487
02 Albacete	Guests	Residents in Spain	2024M02	499
02 Albacete	Guests	Residents in Spain	2024M01	402
02 Albacete	Guests	Residents in Spain	2023M12	1.345
02 Albacete	Guests	Residents in Spain	2023M11	941
02 Albacete	Guests	Residents in Spain	2023M10	1.597
02 Albacete	Guests	Residents in Spain	2023M09	1.302
02 Albacete	Guests	Residents in Spain	2023M08	1.834
02 Albacete	Guests	Residents in Spain	2023M07	1.544
02 Albacete	Guests	Residents in Spain	2023M06	1.759
02 Albacete	Guests	Residents in Spain	2023M05	742
02 Albacete	Guests	Residents in Spain	2023M04	1.415
02 Albacete	Guests	Residents in Spain	2023M03	888
02 Albacete	Guests	Residents in Spain	2023M02	414
02 Albacete	Guests	Residents in Spain	2023M01	521
02 Albacete	Guests	Residents in Spain	2022M12	947
02 Albacete	Guests	Residents in Spain	2022M11	833
02 Albacete	Guests	Residents in Spain	2022M10	1.414
02 Albacete	Guests	Residents in Spain	2022M09	1.095
02 Albacete	Guests	Residents in Spain	2022M08	1.566
02 Albacete	Guests	Residents in Spain	2022M07	1.759
02 Albacete	Guests	Residents in Spain	2022M06	1.511
02 Albacete	Guests	Residents in Spain	2022M05	1.099
02 Albacete	Guests	Residents in Spain	2022M04	1.854
02 Albacete	Guests	Residents in Spain	2022M03	573
02 Albacete	Guests	Residents in Spain	2022M02	542
02 Albacete	Guests	Residents in Spain	2022M01	269
02 Albacete	Guests	Residents in Spain	2021M12	.
02 Albacete	Guests	Residents in Spain	2021M11	.
02 Albacete	Guests	Residents in Spain	2021M10	1.598
02 Albacete	Guests	Residents in Spain	2021M09	1.421
02 Albacete	Guests	Residents in Spain	2021M08	2.258
02 Albacete	Guests	Residents in Spain	2021M07	1.974
02 Albacete	Guests	Residents in Spain	2021M06	1.597
02 Albacete	Guests	Residents in Spain	2021M05	955
02 Albacete	Guests	Residents in Spain	2021M04	748
02 Albacete	Guests	Residents in Spain	2021M03	285
02 Albacete	Guests	Residents in Spain	2021M02	81
02 Albacete	Guests	Residents in Spain	2021M01	.
02 Albacete	Guests	Residents in Spain	2020M12	290
02 Albacete	Guests	Residents in Spain	2020M11	193
02 Albacete	Guests	Residents in Spain	2020M10	1.260
