Regional totals	Autonomous Communities and Cities	Provinces	Guests and overnight stays	Residence: Nivel 1	Residence: Nivel 2	Periodo	Total
National Total			Guests	Total		2025M09	12.050.972
National Total			Guests	Total		2025M08	13.828.672
National Total			Guests	Total		2025M07	13.044.764
National Total			Guests	Total		2025M06	12.256.716
National Total			Guests	Total		2025M05	11.803.477
National Total			Guests	Total		2025M04	10.018.537
National Total			Guests	Total		2025M03	7.680.722
National Total			Guests	Total		2025M02	6.539.960
National Total			Guests	Total		2025M01	5.776.075
National Total			Guests	Total		2024M12	6.561.380
National Total			Guests	Total		2024M11	7.152.418
National Total			Guests	Total		2024M10	10.757.739
National Total			Guests	Total		2024M09	11.753.507
National Total			Guests	Total		2024M08	13.622.908
National Total			Guests	Total		2024M07	12.692.328
National Total			Guests	Total		2024M06	11.865.112
National Total			Guests	Total		2024M05	11.768.411
National Total			Guests	Total		2024M04	9.386.103
National Total			Guests	Total		2024M03	8.433.226
National Total			Guests	Total		2024M02	6.512.168
National Total			Guests	Total		2024M01	5.660.859
National Total			Guests	Total		2023M12	6.586.138
National Total			Guests	Total		2023M11	6.798.815
National Total			Guests	Total		2023M10	10.390.441
National Total			Guests	Total		2023M09	11.627.872
National Total			Guests	Total		2023M08	13.266.497
National Total			Guests	Total		2023M07	12.680.483
National Total			Guests	Total		2023M06	11.535.550
National Total			Guests	Total		2023M05	10.580.202
National Total			Guests	Total		2023M04	9.829.384
National Total			Guests	Total		2023M03	7.361.364
National Total			Guests	Total		2023M02	5.967.064
National Total			Guests	Total		2023M01	5.367.962
National Total			Guests	Total		2022M12	6.054.556
National Total			Guests	Total		2022M11	6.284.698
National Total			Guests	Total		2022M10	9.743.259
National Total			Guests	Total		2022M09	11.050.305
National Total			Guests	Total		2022M08	12.889.916
National Total			Guests	Total		2022M07	12.292.936
National Total			Guests	Total		2022M06	10.990.468
National Total			Guests	Total		2022M05	9.920.671
National Total			Guests	Total		2022M04	8.689.822
National Total			Guests	Total		2022M03	6.061.398
National Total			Guests	Total		2022M02	5.133.961
National Total			Guests	Total		2022M01	3.770.578
National Total			Guests	Total		2021M12	4.881.952
National Total			Guests	Total		2021M11	5.391.958
National Total			Guests	Total		2021M10	8.131.666
National Total			Guests	Total		2021M09	8.256.057
National Total			Guests	Total		2021M08	10.408.035
National Total			Guests	Total		2021M07	8.544.001
National Total			Guests	Total		2021M06	5.676.067
National Total			Guests	Total		2021M05	3.404.118
National Total			Guests	Total		2021M04	1.955.719
National Total			Guests	Total		2021M03	1.770.722
National Total			Guests	Total		2021M02	1.179.236
National Total			Guests	Total		2021M01	1.124.601
National Total			Guests	Total		2020M12	1.417.815
National Total			Guests	Total		2020M11	1.184.922
National Total			Guests	Total		2020M10	2.406.759
National Total			Guests	Total		2020M09	3.513.294
National Total			Guests	Total		2020M08	5.924.218
National Total			Guests	Total		2020M07	4.407.783
National Total			Guests	Total		2020M06	944.923
National Total			Guests	Total		2020M05	98.561
National Total			Guests	Total		2020M04	0
National Total			Guests	Total		2020M03	2.656.776
National Total			Guests	Total		2020M02	6.456.402
National Total			Guests	Total		2020M01	5.577.618
National Total			Guests	Total		2019M12	6.240.788
National Total			Guests	Total		2019M11	6.693.210
National Total			Guests	Total		2019M10	9.772.631
National Total			Guests	Total		2019M09	11.038.778
National Total			Guests	Total		2019M08	13.028.096
National Total			Guests	Total		2019M07	12.124.664
National Total			Guests	Total		2019M06	11.371.775
National Total			Guests	Total		2019M05	10.509.949
National Total			Guests	Total		2019M04	9.138.989
National Total			Guests	Total		2019M03	7.534.311
National Total			Guests	Total		2019M02	6.011.298
National Total			Guests	Total		2019M01	5.251.558
National Total			Guests	Total		2018M12	6.071.139
National Total			Guests	Total		2018M11	6.485.702
National Total			Guests	Total		2018M10	9.666.570
National Total			Guests	Total		2018M09	11.000.902
National Total			Guests	Total		2018M08	12.500.596
National Total			Guests	Total		2018M07	11.707.840
National Total			Guests	Total		2018M06	10.846.347
National Total			Guests	Total		2018M05	10.040.281
National Total			Guests	Total		2018M04	8.499.926
National Total			Guests	Total		2018M03	7.532.288
National Total			Guests	Total		2018M02	5.826.145
National Total			Guests	Total		2018M01	5.133.729
National Total			Guests	Total		2017M12	5.805.767
National Total			Guests	Total		2017M11	6.068.289
National Total			Guests	Total		2017M10	9.458.368
National Total			Guests	Total		2017M09	10.933.324
National Total			Guests	Total		2017M08	12.338.502
National Total			Guests	Total		2017M07	11.910.574
National Total			Guests	Total		2017M06	10.640.606
National Total			Guests	Total		2017M05	9.844.007
National Total			Guests	Total		2017M04	9.209.286
National Total			Guests	Total		2017M03	6.921.086
National Total			Guests	Total		2017M02	5.689.624
National Total			Guests	Total		2017M01	4.984.634
National Total			Guests	Total		2016M12	5.540.097
National Total			Guests	Total		2016M11	5.786.675
National Total			Guests	Total		2016M10	9.274.924
National Total			Guests	Total		2016M09	10.486.719
National Total			Guests	Total		2016M08	12.187.504
National Total			Guests	Total		2016M07	11.605.320
National Total			Guests	Total		2016M06	10.180.427
National Total			Guests	Total		2016M05	9.569.945
National Total			Guests	Total		2016M04	7.735.455
National Total			Guests	Total		2016M03	7.221.796
National Total			Guests	Total		2016M02	5.561.906
National Total			Guests	Total		2016M01	4.689.264
National Total			Guests	Total		2015M12	5.318.037
National Total			Guests	Total		2015M11	5.509.265
National Total			Guests	Total		2015M10	8.685.869
National Total			Guests	Total		2015M09	9.766.395
National Total			Guests	Total		2015M08	11.747.649
National Total			Guests	Total		2015M07	10.616.662
National Total			Guests	Total		2015M06	9.481.768
National Total			Guests	Total		2015M05	9.087.139
National Total			Guests	Total		2015M04	7.668.482
National Total			Guests	Total		2015M03	6.146.078
National Total			Guests	Total		2015M02	4.937.718
National Total			Guests	Total		2015M01	4.251.906
National Total			Guests	Total		2014M12	4.998.810
National Total			Guests	Total		2014M11	5.144.062
National Total			Guests	Total		2014M10	7.988.684
National Total			Guests	Total		2014M09	9.342.635
National Total			Guests	Total		2014M08	11.228.638
National Total			Guests	Total		2014M07	9.885.449
National Total			Guests	Total		2014M06	9.038.987
National Total			Guests	Total		2014M05	8.518.421
National Total			Guests	Total		2014M04	7.301.730
National Total			Guests	Total		2014M03	5.770.836
National Total			Guests	Total		2014M02	4.657.133
National Total			Guests	Total		2014M01	3.939.144
National Total			Guests	Total		2013M12	4.659.511
National Total			Guests	Total		2013M11	5.112.181
National Total			Guests	Total		2013M10	7.468.192
National Total			Guests	Total		2013M09	8.886.542
National Total			Guests	Total		2013M08	10.715.764
National Total			Guests	Total		2013M07	9.644.412
National Total			Guests	Total		2013M06	8.725.022
National Total			Guests	Total		2013M05	8.113.029
National Total			Guests	Total		2013M04	6.283.128
National Total			Guests	Total		2013M03	6.171.037
National Total			Guests	Total		2013M02	4.347.642
National Total			Guests	Total		2013M01	3.694.459
National Total			Guests	Total		2012M12	4.334.680
National Total			Guests	Total		2012M11	4.772.075
National Total			Guests	Total		2012M10	7.258.395
National Total			Guests	Total		2012M09	8.756.163
National Total			Guests	Total		2012M08	10.239.776
National Total			Guests	Total		2012M07	9.616.052
National Total			Guests	Total		2012M06	8.587.613
National Total			Guests	Total		2012M05	7.725.234
National Total			Guests	Total		2012M04	7.103.715
National Total			Guests	Total		2012M03	5.771.561
National Total			Guests	Total		2012M02	4.762.348
National Total			Guests	Total		2012M01	4.034.869
National Total			Guests	Total		2011M12	4.594.592
National Total			Guests	Total		2011M11	4.902.197
National Total			Guests	Total		2011M10	7.673.432
National Total			Guests	Total		2011M09	8.916.593
National Total			Guests	Total		2011M08	10.608.293
National Total			Guests	Total		2011M07	10.051.429
National Total			Guests	Total		2011M06	8.809.958
National Total			Guests	Total		2011M05	7.797.227
National Total			Guests	Total		2011M04	7.423.129
National Total			Guests	Total		2011M03	5.829.113
National Total			Guests	Total		2011M02	4.831.381
National Total			Guests	Total		2011M01	3.929.632
National Total			Guests	Total		2010M12	4.650.521
National Total			Guests	Total		2010M11	4.976.017
National Total			Guests	Total		2010M10	7.679.996
National Total			Guests	Total		2010M09	8.400.100
National Total			Guests	Total		2010M08	10.014.468
National Total			Guests	Total		2010M07	9.399.554
National Total			Guests	Total		2010M06	8.087.317
National Total			Guests	Total		2010M05	7.810.020
National Total			Guests	Total		2010M04	6.786.265
National Total			Guests	Total		2010M03	5.706.500
National Total			Guests	Total		2010M02	4.610.953
National Total			Guests	Total		2010M01	3.767.159
National Total			Guests	Total		2009M12	4.435.027
National Total			Guests	Total		2009M11	4.710.822
National Total			Guests	Total		2009M10	7.011.612
National Total			Guests	Total		2009M09	7.827.994
National Total			Guests	Total		2009M08	9.423.345
National Total			Guests	Total		2009M07	8.712.905
National Total			Guests	Total		2009M06	7.630.129
National Total			Guests	Total		2009M05	7.378.804
National Total			Guests	Total		2009M04	6.542.718
National Total			Guests	Total		2009M03	5.303.127
National Total			Guests	Total		2009M02	4.447.323
