Regional totals	Autonomous Communities and Cities	Guests and overnight stays	Residence: Nivel 1	Residence: Nivel 2	Periodo	Total
National Total		Guests	Total		2025M09	428.353
National Total		Guests	Total		2025M08	511.738
National Total		Guests	Total		2025M07	470.037
National Total		Guests	Total		2025M06	470.530
National Total		Guests	Total		2025M05	505.751
National Total		Guests	Total		2025M04	429.435
National Total		Guests	Total		2025M03	219.218
National Total		Guests	Total		2025M02	167.984
National Total		Guests	Total		2025M01	139.406
National Total		Guests	Total		2024M12	179.280
National Total		Guests	Total		2024M11	208.006
National Total		Guests	Total		2024M10	373.729
National Total		Guests	Total		2024M09	473.200
National Total		Guests	Total		2024M08	536.723
National Total		Guests	Total		2024M07	498.280
National Total		Guests	Total		2024M06	485.732
National Total		Guests	Total		2024M05	535.691
National Total		Guests	Total		2024M04	409.040
National Total		Guests	Total		2024M03	296.235
National Total		Guests	Total		2024M02	191.440
National Total		Guests	Total		2024M01	155.269
National Total		Guests	Total		2023M12	186.829
National Total		Guests	Total		2023M11	227.594
National Total		Guests	Total		2023M10	449.696
National Total		Guests	Total		2023M09	556.085
National Total		Guests	Total		2023M08	631.285
National Total		Guests	Total		2023M07	576.777
National Total		Guests	Total		2023M06	532.608
National Total		Guests	Total		2023M05	542.650
National Total		Guests	Total		2023M04	470.394
National Total		Guests	Total		2023M03	291.878
National Total		Guests	Total		2023M02	155.905
National Total		Guests	Total		2023M01	132.841
National Total		Guests	Total		2022M12	136.497
National Total		Guests	Total		2022M11	161.183
National Total		Guests	Total		2022M10	359.832
National Total		Guests	Total		2022M09	416.024
National Total		Guests	Total		2022M08	539.326
National Total		Guests	Total		2022M07	505.449
National Total		Guests	Total		2022M06	487.467
National Total		Guests	Total		2022M05	433.110
National Total		Guests	Total		2022M04	339.101
National Total		Guests	Total		2022M03	157.555
National Total		Guests	Total		2022M02	105.058
National Total		Guests	Total		2022M01	78.469
National Total		Guests	Total		2021M12	90.761
National Total		Guests	Total		2021M11	100.522
National Total		Guests	Total		2021M10	241.159
National Total		Guests	Total		2021M09	262.558
National Total		Guests	Total		2021M08	324.321
National Total		Guests	Total		2021M07	279.150
National Total		Guests	Total		2021M06	117.743
National Total		Guests	Total		2021M05	41.070
National Total		Guests	Total		2021M04	19.382
National Total		Guests	Total		2021M03	16.435
National Total		Guests	Total		2021M02	6.329
National Total		Guests	Total		2021M01	4.568
National Total		Guests	Total		2020M12	5.462
National Total		Guests	Total		2020M11	5.629
National Total		Guests	Total		2020M10	12.578
National Total		Guests	Total		2020M09	16.011
National Total		Guests	Total		2020M08	37.089
National Total		Guests	Total		2020M07	25.531
National Total		Guests	Total		2020M06	4.694
National Total		Guests	Total		2020M05	386
National Total		Guests	Total		2020M04	.
National Total		Guests	Total		2020M03	24.640
National Total		Guests	Total		2020M02	61.283
National Total		Guests	Total		2020M01	40.808
National Total		Guests	Total		2019M12	49.436
National Total		Guests	Total		2019M11	66.094
National Total		Guests	Total		2019M10	89.193
National Total		Guests	Total		2019M09	85.966
National Total		Guests	Total		2019M08	129.132
National Total		Guests	Total		2019M07	120.423
National Total		Guests	Total		2019M06	132.420
National Total		Guests	Total		2019M05	116.484
National Total		Guests	Total		2019M04	106.393
National Total		Guests	Total		2019M03	89.097
National Total		Guests	Total		2019M02	61.794
National Total		Guests	Total		2019M01	40.911
National Total		Guests	Total		2018M12	49.266
National Total		Guests	Total		2018M11	61.887
National Total		Guests	Total		2018M10	84.675
National Total		Guests	Total		2018M09	81.265
National Total		Guests	Total		2018M08	117.029
National Total		Guests	Total		2018M07	120.685
National Total		Guests	Total		2018M06	128.560
National Total		Guests	Total		2018M05	119.358
National Total		Guests	Total		2018M04	104.767
National Total		Guests	Total		2018M03	103.745
National Total		Guests	Total		2018M02	62.301
National Total		Guests	Total		2018M01	41.801
National Total		Guests	Total		2017M12	53.851
National Total		Guests	Total		2017M11	60.548
National Total		Guests	Total		2017M10	86.994
National Total		Guests	Total		2017M09	87.847
National Total		Guests	Total		2017M08	119.228
National Total		Guests	Total		2017M07	121.016
National Total		Guests	Total		2017M06	119.129
National Total		Guests	Total		2017M05	111.379
National Total		Guests	Total		2017M04	104.822
National Total		Guests	Total		2017M03	76.325
National Total		Guests	Total		2017M02	51.457
National Total		Guests	Total		2017M01	31.336
National Total		Guests	Total		2016M12	44.903
National Total		Guests	Total		2016M11	48.531
National Total		Guests	Total		2016M10	80.964
National Total		Guests	Total		2016M09	77.375
National Total		Guests	Total		2016M08	110.058
National Total		Guests	Total		2016M07	115.499
National Total		Guests	Total		2016M06	113.826
National Total		Guests	Total		2016M05	108.734
National Total		Guests	Total		2016M04	90.236
National Total		Guests	Total		2016M03	83.623
National Total		Guests	Total		2016M02	52.486
National Total		Guests	Total		2016M01	34.264
National Total		Guests	Total		2015M12	41.082
National Total		Guests	Total		2015M11	47.509
National Total		Guests	Total		2015M10	78.297
National Total		Guests	Total		2015M09	69.408
National Total		Guests	Total		2015M08	108.101
National Total		Guests	Total		2015M07	102.096
National Total		Guests	Total		2015M06	102.673
National Total		Guests	Total		2015M05	103.336
National Total		Guests	Total		2015M04	94.317
National Total		Guests	Total		2015M03	80.141
National Total		Guests	Total		2015M02	46.708
National Total		Guests	Total		2015M01	30.779
National Total		Guests	Total		2014M12	42.838
National Total		Guests	Total		2014M11	49.443
National Total		Guests	Total		2014M10	71.267
National Total		Guests	Total		2014M09	65.813
National Total		Guests	Total		2014M08	114.951
National Total		Guests	Total		2014M07	112.298
National Total		Guests	Total		2014M06	111.179
National Total		Guests	Total		2014M05	104.089
National Total		Guests	Total		2014M04	92.532
National Total		Guests	Total		2014M03	67.321
National Total		Guests	Total		2014M02	43.243
National Total		Guests	Total		2014M01	23.068
National Total		Guests	Total	Residents in Spain	2025M09	166.561
National Total		Guests	Total	Residents in Spain	2025M08	247.166
National Total		Guests	Total	Residents in Spain	2025M07	242.182
National Total		Guests	Total	Residents in Spain	2025M06	223.426
National Total		Guests	Total	Residents in Spain	2025M05	196.782
National Total		Guests	Total	Residents in Spain	2025M04	204.982
National Total		Guests	Total	Residents in Spain	2025M03	110.161
National Total		Guests	Total	Residents in Spain	2025M02	81.880
National Total		Guests	Total	Residents in Spain	2025M01	70.700
National Total		Guests	Total	Residents in Spain	2024M12	94.792
National Total		Guests	Total	Residents in Spain	2024M11	100.418
National Total		Guests	Total	Residents in Spain	2024M10	163.684
National Total		Guests	Total	Residents in Spain	2024M09	200.868
National Total		Guests	Total	Residents in Spain	2024M08	286.875
National Total		Guests	Total	Residents in Spain	2024M07	263.520
National Total		Guests	Total	Residents in Spain	2024M06	231.999
National Total		Guests	Total	Residents in Spain	2024M05	211.552
National Total		Guests	Total	Residents in Spain	2024M04	182.342
National Total		Guests	Total	Residents in Spain	2024M03	168.795
National Total		Guests	Total	Residents in Spain	2024M02	94.180
National Total		Guests	Total	Residents in Spain	2024M01	75.060
National Total		Guests	Total	Residents in Spain	2023M12	92.987
National Total		Guests	Total	Residents in Spain	2023M11	97.822
National Total		Guests	Total	Residents in Spain	2023M10	180.201
National Total		Guests	Total	Residents in Spain	2023M09	213.428
National Total		Guests	Total	Residents in Spain	2023M08	299.192
National Total		Guests	Total	Residents in Spain	2023M07	291.613
National Total		Guests	Total	Residents in Spain	2023M06	250.224
National Total		Guests	Total	Residents in Spain	2023M05	208.887
National Total		Guests	Total	Residents in Spain	2023M04	213.100
National Total		Guests	Total	Residents in Spain	2023M03	161.535
National Total		Guests	Total	Residents in Spain	2023M02	78.103
National Total		Guests	Total	Residents in Spain	2023M01	62.374
National Total		Guests	Total	Residents in Spain	2022M12	71.014
National Total		Guests	Total	Residents in Spain	2022M11	74.460
National Total		Guests	Total	Residents in Spain	2022M10	159.053
National Total		Guests	Total	Residents in Spain	2022M09	172.499
National Total		Guests	Total	Residents in Spain	2022M08	287.031
National Total		Guests	Total	Residents in Spain	2022M07	280.956
National Total		Guests	Total	Residents in Spain	2022M06	249.081
